username,topic_id,top_words,npmi
ui_fess,53,"jalan, kaki, seberapa, teknik, jauh, hati, bus, akronim, abangan, berjalan",0.3642
ui_fess,54,"drug, powdered, line, education, of, film, major, skill, orangnya, your",0.3642
ui_fess,55,"kukel, kutek, sengketa, information, dimana, kahh, kedengaran, jagoan, sekitar, kasus",0.3642
ui_fess,56,"indonesia, bahasa, dokter, lomba, represent, karir, masukan, monoton, estetik, ngoding",0.3642
ui_fess,57,"sight, kill, on, pulkam, kutek, information, biaya, daerah, laki, margonda",0.3642
ui_fess,58,"baru, act, caught, benar, sadar, following, rame, cukur, ngelanggar, ributribut",0.3642
ui_fess,59,"sekian, keliling, mahasiswa, following, prodi, isinya, aktif, mungkin, kecewa, kesusahan",0.3642
ui_fess,60,"memang, balik, benar, kartu, hikmahnya, ujiannya, anakanak, pulkam, kamaba, describe",0.3642
ui_fess,61,"prodi, bersamaku, tanyaa, tanya, gel, mau, fsrd, follback, kepala, plk",0.3642
UGM_FESS,0,"information, kost, tempat, dekat, ugm, infokan, sekitar, area, dalam, fisipol",0.3931
UGM_FESS,1,"amplifier, dua, puluh, empat, suka, turnitin, segar, lagi, makin, lima",0.3931
UGM_FESS,2,"printer, pembekalan, sesi, jadwal, kost, kkn, kelas, zoom, print, sama",0.3931
UGM_FESS,3,"sight, kill, on, putri, daerah, oper, biaya, max, information, dekat",0.3931
UGM_FESS,4,"semester, curriculum, vitae, universitas, kipk, magang, sks, empat, study, masih",0.3931
UGM_FESS,5,"laptop, iphone, charger, sewa, belas, memory, drive, delapan, empat, aman",0.3931
UGM_FESS,6,"cocaine, of, drug, ecstasy, kilo, inspired, no, keju, experience, your",0.3931
UGM_FESS,7,"cash, delivery, on, kulak, area, preloved, sell, minat, novel, represent",0.3931
UGM_FESS,8,"corporation, motors, general, psikolog, poli, konsultasi, tes, technology, inc, array",0.3931
UGM_FESS,9,"bagaimana, cara, caranya, biar, tidur, move, ternyata, kesal, terlalu, kuliah",0.3931
UGM_FESS,10,"mutualan, hey, follow, yuk, follback, kagama, nanti, suka, akt, kakak",0.3931
UGM_FESS,11,"produktif, pengalaman, bidang, penelitian, srikandi, pengusung, mencari, loker, produk, magang",0.3931
UGM_FESS,12,"bantu, ramadhan, isi, barter, kuesioner, berkenan, jogokariyan, banyak, bantuannya, boleh",0.3931
UGM_FESS,13,"sayang, ugmboys, siapa, hey, f19, midnight, numpang, iseng, looking, sendiri",0.3931
UGM_FESS,14,"sponsor, kkn, relasi, dpkm, ii, grup, jawa, pendanaan, barat, ribu",0.3931
UGM_FESS,15,"skin, the, under, pancasila, soal, bapak, skincare, budisutrisna, uas, ditengah",0.3931
UGM_FESS,16,"motor, motornya, kunci, driver, helm, sewa, biasanya, kehilangan, minute, meninggalkan",0.3931
UGM_FESS,17,"belum, pawang, sayang, dua, puluh, punya, berpawang, empat, gandengan, guy",0.3931
UGM_FESS,18,"telpon, mie, telah, mengajar, sweet, dreams, sendiri, hadirnya, wayang, berusia",0.3931
UGM_FESS,19,"diajukan, orang, belum, semangat, statusnya, kipknya, katanya, utsnya, berubah, diam",0.3931
UGM_FESS,20,"tolong, responden, meminta, linknya, isi, bantu, bagi, dibayar, sosial, fkg",0.3931
UGM_FESS,21,"relationship, partner, love, long, date, romantic, hopeless, distance, in, sayang",0.3931
UGM_FESS,22,"preloved, barang, kulak, minat, pesan, nanti, beberapa, komen, dijual, lemari",0.3931
UGM_FESS,23,"grup, kkn, medika, jawa, anak, periode, luar, adakah, butuh, masih",0.3931
UGM_FESS,24,"minute, just, berapa, helmnya, tarawih, pagi, buka, tadi, maskam, bandara",0.3931
UGM_FESS,25,"ratus, tujuh, puluh, lima, sembilan, delapan, dua, ribu, akt, enam",0.3931
UGM_FESS,26,"foto, studio, wisuda, f18, device, masing, 200k, self, terbatas, 100k",0.3931
UGM_FESS,27,"name, popular, that, lagu, musik, korean, alat, dress, grup, banding",0.3931
UGM_FESS,28,"enggak, tiket, cup, farmasi, sisa, sepeda, special, edition, ft, lucu",0.3931
UGM_FESS,29,"ibuprofen, parttime, part, boneka, lowker, turun, waktu, infonya, information, prof",0.3931
UGM_FESS,30,"baru, brand, store, negoo, beli, kondisi, seratus, dijual, kulak, preloved",0.3931
UGM_FESS,31,"fidelity, wireless, listrik, isian, blanked, sight, dapur, kill, on, oper",0.3931
UGM_FESS,32,"infatuation, nyala, kimia, punya, chat, sayang, kakak, kenal, gaenak, pretend",0.3931
UGM_FESS,33,"gigi, koas, berlubang, besar, keluhan, akar, dirawat, oleh, dicabut, patah",0.3931
UGM_FESS,34,"harry, potter, layan, storage, tiba, hpku, berkali, penerima, pernah, mati",0.3931
UGM_FESS,35,"komen, kulak, oper, putri, minat, kost, pesan, nanti, ketok, hi",0.3931
UGM_FESS,36,"paskah, kerudung, warna, izin, begitu, ukuran, akun, daftar, diprint, mekanismenya",0.3931
UGM_FESS,37,"wide, web, world, internet, protocol, rekening, tanya, platform, pembelajaran, teknologi",0.3931
UGM_FESS,38,"tutor, utbk, bahasa, dasar, kemampuan, mentor, snbt, female, indonesia, matkul",0.3931
UGM_FESS,39,"subscriber, module, identity, ktp, site, kehilangan, dompet, dor, menemukan, kartu",0.3931
UGM_FESS,40,"freelance, development, business, pekerjaan, acara, hadir, bisnis, melihat, information, bingung",0.3931
UGM_FESS,41,"data, krl, datanya, analisis, datang, sidang, indah, masing, save, benar",0.3931
UGM_FESS,42,"administrator, forum, network, etc, on, kirim, difollback, note, topic, link",0.3931
UGM_FESS,43,"indonesia, papua, pesisir, tinggal, dicari, grup, bahasa, balas, butuh, semua",0.3931
UGM_FESS,44,"cafe, nugas, matcha, space, worth, menyarankan, bebas, minute, puasa, buka",0.3931
UGM_FESS,45,"tanya, pernah, tanyatanya, paham, penelitian, awardee, natalis, tanyaa, high, boredom",0.3931
UGM_FESS,46,"tempat, tahu, otak, tas, baju, alur, expert, nice, hotel, polaroid",0.3931
UGM_FESS,47,"moment, at, baca, indonesia, resmi, mandiri, plastik, rekomendasi, biaya, the",0.3931
UGM_FESS,48,"laugh, tawa, paketnya, tertukar, kesepian, kepikiran, bersedia, maaf, adalah, benaran",0.3931
UGM_FESS,49,"kindness, act, random, trauma, of, meja, kamar, kasur, langsung, kecil",0.3931
UGM_FESS,50,"commanding, officer, barengan, eksil, akt, hey, ciwi, ku, mencari, ingpo",0.3931
UGM_FESS,51,"box, snack, 12k, nasi, dessert, bagi, catering, brownies, batch, booking",0.3931
UGM_FESS,52,"conditioning, air, pogung, kost, dekat, dalam, fasilitas, sinduadi, heater, include",0.3931
UGM_FESS,53,"conditioning, air, kamar, sight, kill, putri, max, on, mandi, dalam",0.3931
UGM_FESS,54,"islam, muslim, seratus, ang, siang, keatas, text, tinggi, kajian, agama",0.3931
UGM_FESS,55,"tolong, berisik, lucu, sangat, tiba, termakan, intinya, freak, yhh, baunya",0.3931
UGM_FESS,56,"spill, lucu, utbk, masuk, apa, pertimbangan, hahahaha, perbedaan, prospek, dikira",0.3931
UGM_FESS,57,"pesawat, stranger, percaya, selalu, belajar, semakin, mampir, rencananya, naik, hidup",0.3931
UGM_FESS,58,"stop, it, nikah, cowok, tingginya, strong, tinggi, sedih, kartu, mengomong",0.3931
UGM_FESS,59,"encounters, casual, effort, there, are, sendirian, sedih, patner, adakh, oleholeh",0.3931
UGM_FESS,60,"dpkm, mitra, grup, pendanaan, jawa, dpl, lolos, kkn, pemda, berpengalaman",0.3931
UGM_FESS,61,"flatulence, kei, telur, area, penny, klebengan, besok, ongkir, ayam, malah",0.3931
draftanakunpad3,0,"information, kosan, deliv, cewek, kontrakan, infokan, under, infoin, kost, kamar",0.3893
draftanakunpad3,1,"sight, kill, on, putri, bulan, information, harian, cewek, kamar, daerah",0.3893
draftanakunpad3,2,"tiket, minute, just, seribu, ratus, jakarta, travel, puluh, dua, tiga",0.3893
draftanakunpad3,3,"amplifier, beasiswa, gratis, array, mulai, pcs, night, kemeja, pesan, cek",0.3893
draftanakunpad3,4,"tolong, meminta, suka, bantu, postingan, kucing, terimakasih, hilang, butuh, kabarin",0.3893
draftanakunpad3,5,"printer, jastip, komen, pro, kucing, buka, mati, fotocopy, pet, hari",0.3893
draftanakunpad3,6,"buy, want, to, cash, delivery, on, boleh, pesan, magic, dipakai",0.3893
draftanakunpad3,7,"responden, saldo, kuesioner, kriteria, ewallet, reward, banyak, informasi, bantu, diundi",0.3893
draftanakunpad3,8,"motor, beat, rumah, depan, include, bensin, naik, layan, sampai, sebuah",0.3893
draftanakunpad3,9,"hey, nangor, bareng, masih, menganggur, jahim, sokin, minyak, alun, hi",0.3893
draftanakunpad3,10,"semester, curriculum, universitas, vitae, foreign, test, english, language, as, alumni",0.3893
draftanakunpad3,11,"teman, bem, tiba, pernah, terimakasih, bulan, kakak, kerudung, cumlaude, ujung",0.3893
draftanakunpad3,12,"points, games, experience, in, sealed, skin, skincare, casual, baru, the",0.3893
draftanakunpad3,13,"material, promotional, competition, instagram, produk, business, bunga, design, sepatu, gratis",0.3893
draftanakunpad3,14,"female, jatuh, jasa, dibicarakan, bandung, sama, kalkulator, kosannya, sertain, antarkan",0.3893
draftanakunpad3,15,"laptop, macbook, juta, access, samsung, seratus, delapan, ribu, lepas, britain",0.3893
draftanakunpad3,16,"conditioning, air, heater, water, fasilitas, kamar, kost, overkontrak, kulkas, mandi",0.3893
draftanakunpad3,17,"cheesecuit, 18k, seluruh, pengantaran, promotional, material, dapat, flatulence, terbatas, slot",0.3893
draftanakunpad3,18,"pinewood, disewakan, rental, hotel, apart, booking, per, skyland, juta, apartemen",0.3893
draftanakunpad3,19,"nangor, cewek, beli, nanti, sepi, harus, terimakasih, masih, makan, cowok",0.3893
draftanakunpad3,20,"represent, nanti, minat, pesan, boleh, preloved, bunga, kozko, tanyatanya, kosan",0.3893
draftanakunpad3,21,"iphone, ipad, ratus, dua, original, sembilan, juta, delapan, kamera, puluh",0.3893
draftanakunpad3,22,"cafe, jaad, nugas, enak, alpa, minute, just, sebrang, awani, samping",0.3893
draftanakunpad3,23,"passed, drunk, out, liquid, foom, catridge, baru, liquor, dijual, masih",0.3893
draftanakunpad3,24,"ibuprofen, mencoba, sekali, seberang, masakan, condi, kostnya, warung, tolong, coolyeah",0.3893
draftanakunpad3,25,"deliv, sekarang, buka, ciseke, hegar, laper, bakso, makanan, sukawening, manis",0.3893
draftanakunpad3,26,"sight, kill, heater, water, on, conditioning, air, overkontrak, meja, lemari",0.3893
draftanakunpad3,27,"size, dijual, white, puluh, ukuran, casual, adidas, blazer, shoulder, jeans",0.3893
draftanakunpad3,28,"charger, protocol, internet, type, baterai, beli, laptop, subscriber, module, kabel",0.3893
draftanakunpad3,29,"delivery, order, langsung, pisang, bola, ongkir, ubi, keju, buka, manis",0.3893
draftanakunpad3,30,"laundry, sepatu, jemput, tempat, bersih, antar, bantal, asri, above, none",0.3893
draftanakunpad3,31,"bagaimana, dosen, cara, bagi, suka, be, her, dibantai, still, sukanya",0.3893
draftanakunpad3,32,"catering, sahur, sejatinangor, ongkir, gratis, sehat, tanya, dulu, makan, menu",0.3893
draftanakunpad3,33,"pedas, order, brownies, mayo, preorder, salad, buka, coklat, milk, 12k",0.3893
draftanakunpad3,34,"fidelity, wireless, listrik, dapur, luas, fasilitas, bersama, ciseke, kencang, mesin",0.3893
draftanakunpad3,35,"sore, tennis, bareng, ibadah, ikut, raket, tadi, kepo, bandung, itb",0.3893
draftanakunpad3,36,"balas, baju, nego, meninggalkan, tertarik, jarang, layak, siapa, bentar, jatinangor",0.3893
draftanakunpad3,37,"cocaine, powdered, drug, of, line, kozko, living, premium, ecstasy, experience",0.3893
draftanakunpad3,38,"preloved, barang, uang, bantu, kolom, nambahin, hi, hey, dibantu, menambah",0.3893
draftanakunpad3,39,"dimana, nangor, sol, toko, dimanaa, cara, tempat, kabupaten, hasilnya, grogol",0.3893
draftanakunpad3,40,"waarch, nasi, malas, powdered, line, drug, ayam, mengantri, panjang, yours",0.3893
draftanakunpad3,41,"administrator, etc, forum, network, on, up, networking, site, social, banyak",0.3893
draftanakunpad3,42,"suka, malah, unpad, sama, lama, kali, tas, teman, nanyananya, avoidant",0.3893
draftanakunpad3,43,"information, sahur, kandaga, buka, rumah, penginapan, utamain, padang, minang, portable",0.3893
draftanakunpad3,44,"enggak, kucing, eye, kating, silakan, perpus, kakak, kemarin, jastip, ingfo",0.3893
draftanakunpad3,45,"skin, under, the, request, elc, nilai, jadwal, daring, kelas, persiapan",0.3893
draftanakunpad3,46,"nations, united, identification, sharing, number, personal, wisuda, huruhara, paskah, bouquet",0.3893
draftanakunpad3,47,"pergi, nyuci, gigi, selain, coffee, bungsu, unpd, deres, apart, tole",0.3893
draftanakunpad3,48,"queer, ojek, uhuy, how, program, are, computer, belanja, proyek, makan",0.3893
draftanakunpad3,49,"biologi, beasiswa, esai, klik, menulis, mentoring, lolos, feedback, simulasi, negeri",0.3893
draftanakunpad3,50,"flatulence, sempurna, rangka, tugu, dijamin, jarang, preloved, sendiri, bimbingan, hiking",0.3893
draftanakunpad3,51,"caringin, kost, harianmingguan, 425k, tersebut, sehari, review, disewakan, tanggal, rekomendasikan",0.3893
draftanakunpad3,52,"tanggal, berapa, sembilan, mei, libur, balik, uangku, overkost, kebaya, nangornya",0.3893
draftanakunpad3,53,"potter, harry, menemukan, lucu, ciri, ratus, rusak, jika, case, sticker",0.3893
draftanakunpad3,54,"dijual, baru, ukuran, sekali, kebesaran, airwalk, nego, minat, sepatu, sebulan",0.3893
draftanakunpad3,55,"cosmetic, enhancements, inspired, race, cooker, pipe, marijuana, part, of, makeup",0.3893
sunib_fess,0,"skin, under, the, nilai, cek, belajar, bagaimana, coba, kakak, tanya",0.3445
sunib_fess,1,"semester, tiga, pendek, belum, kapan, matkul, bisa, tanya, tahu, empat",0.3445
sunib_fess,2,"boleh, putus, print, bisa, menonton, disini, pagi, aslab, minum, bareng",0.3445
sunib_fess,3,"tolong, bantu, jawabannya, jawab, sangat, tolongin, kuesioner, meminta, orang, lagi",0.3445
sunib_fess,4,"business, management, machines, international, accounting, case, company, kisi, lomba, as",0.3445
sunib_fess,5,"b28, b27, strike, counter, tanya, mutualan, maaf, kakak, jatah, sama",0.3445
sunib_fess,6,"bagaimana, cara, indonesia, pernah, kerja, menurut, organisasi, pengalaman, kawalputusanmk, jangan",0.3445
sunib_fess,7,"laptop, computer, science, ipad, kakak, jurusan, bawa, dkv, servis, pakai",0.3445
sunib_fess,8,"amplifier, experience, extra, empat, radio, anggrek, design, butuh, puluh, ambil",0.3445
sunib_fess,9,"enrichment, track, magang, aplikasi, kakak, sudah, belum, ngambil, digaji, ambil",0.3445
sunib_fess,10,"spill, jockey, disc, foto, roblox, karen, tadi, jem, panti, tipis",0.3445
sunib_fess,11,"information, for, thanks, relawan, comserv, dekat, most, thing, rucas, biasa",0.3445
sunib_fess,12,"binusian, cool, tight, hit, etc, tomoro, club, this, mutualan, hey",0.3445
sunib_fess,13,"looking, am, male, hey, any, hello, b28, b24, cewek, region",0.3445
sunib_fess,14,"laugh, fake, tawa, fair, play, almet, tukar, politik, bahas, sebuah",0.3445
sunib_fess,15,"scholastic, assessment, test, seminar, based, web, points, gratis, post, fixed",0.3445
sunib_fess,16,"binus, buka, alsut, ngeprint, bpreneur, pisang, tempat, kantin, anggrek, seribu",0.3445
sunib_fess,17,"streaming, ambil, b26, kakak, b27, role, enggak, ngambil, bi, tanya",0.3445
sunib_fess,18,"infatuation, sebuah, punyaku, rindu, nyala, boy, punya, am, hallway, girl",0.3445
sunib_fess,19,"sangat, nikah, cepat, suka, sama, papasan, korea, her, gila, joki",0.3445
sunib_fess,20,"makan, utsnya, semangat, siang, lama, enaknya, persiapan, belum, murah, selamat",0.3445
sunib_fess,21,"voice, chat, zoom, sesi, gitar, lsc, ijo, terima, kenapa, ketentuan",0.3445
sunib_fess,22,"engine, fidelity, search, wireless, security, internet, an, data, analytics, interest",0.3445
sunib_fess,23,"fair, play, gaming, league, major, move, preloved, good, eese, cari",0.3445
sunib_fess,24,"batas, waktu, gslc, tugas, kerjain, tiga, sudah, bagaimana, puluh, bilang",0.3445
sunib_fess,25,"minute, just, kelas, tujuh, sampai, ratus, sebelas, sembilan, selama, lima",0.3445
sunib_fess,26,"motor, parkir, begitu, malam, direct, turbo, injection, nemu, driver, naik",0.3445
sunib_fess,27,"artificial, intelligence, hasilnya, cek, dkv, got, turnitin, kating, bagusan, ceknya",0.3445
sunib_fess,28,"lagi, autodebet, berapa, tanggal, autodebit, jadwal, selamat, heboh, lagu, bentar",0.3445
sunib_fess,29,"enggak, ciri, ikut, pesan, uiux, kemarin, anak, nanti, kampuss, menawari",0.3445
sunib_fess,30,"autodebet, blu, saldo, lanjut, novice, bimay, pembayaran, kepotong, tf, connect",0.3445
sunib_fess,31,"video, unggah, logo, coba, revisi, content, memasuki, beelingua, eese, dibuka",0.3445
sunib_fess,32,"foto, photoshop, dekat, minus, kosan, kucing, print, pisang, lihat, tempat",0.3445
sunib_fess,33,"sight, kill, on, binus, information, kenal, bapak, apart, hati, alam",0.3445
sunib_fess,34,"transfer, telegrahic, commanding, officer, crocs, berubah, telat, pakai, ratus, palsu",0.3445
sunib_fess,35,"turnitin, referensi, toxic, coba, toilet, cek, defence, arts, referensinya, dark",0.3445
sunib_fess,36,"administrator, network, forum, etc, on, nilainya, zoom, cabang, jelek, attendance",0.3445
sunib_fess,37,"pesawat, malu, naik, wajib, kampus, lantai, malam, coba, buka, dulu",0.3445
sunib_fess,38,"found, lost, kehilangan, titip, moment, melihat, syahdan, ruang, merasa, dimana",0.3445
sunib_fess,39,"biasanya, sebulan, wisuda, lama, interview, setelah, statusnya, interviewnya, nim, posisinya",0.3445
sunib_fess,40,"yhh, pink, biru, kata, tukar, waktu, link, beli, buka, jual",0.3445
sunib_fess,41,"daring, hasil, maba, kelas, grup, pernah, mengingatkan, besoknya, sekedar, pengajuan",0.3445
sunib_fess,42,"ratus, dua, puluh, empat, ribu, sembilan, belas, lima, delapan, seribu",0.3445
sunib_fess,43,"shuttle, bus, mobility, alsut, kesana, kmg, binus, rencana, trimakasi, electives",0.3445
sunib_fess,44,"bayar, takutnya, binusmaya, tes, sore, apa, beberapa, lanjut, setelah, organisasi",0.3445
sunib_fess,45,"song, band, let, close, pergi, akan, whats, solo, ukm, family",0.3445
sunib_fess,46,"keluar, kapan, penipu, likes, country, dasar, go, tut, cinlok, kanan",0.3445
sunib_fess,47,"tuition, bayar, female, fixed, lab, baru, textbook, harus, novice, delapan",0.3445
sunib_fess,48,"virtual, kelas, kamera, jatah, bedanya, desember, ikut, telat, kating, tanggal",0.3445
sunib_fess,49,"jangan, pasang, sehat, lupa, ibadah, ngecrushin, hiks, kawal, lengah, masing",0.3445
sunib_fess,50,"curriculum, vitae, diterima, magang, lamar, izin, c12, education, enrichmentnya, logbook",0.3445
sunib_fess,51,"hari, berapa, menyala, kakinya, panit, buru, welpar, pisang, warga, wow",0.3445
ug_fess,0,"gundar, tanya, foto, kampus, boleh, acara, tahu, ilab, kenapa, buka",0.3378
ug_fess,1,"semester, tiga, magang, sudah, satu, jurusan, lima, tanya, know, studentsite",0.3378
ug_fess,2,"skin, under, the, nilai, tugas, bagaimana, terus, ibuprofen, dapat, tanya",0.3378
ug_fess,3,"ecstasy, kampus, putri, gedung, sight, kill, rekomen, dekat, toilet, on",0.3378
ug_fess,4,"dua, ribu, puluh, ternyata, ratus, praktikumnya, isi, kasih, empat, matkul",0.3378
ug_fess,5,"mutualan, hey, follow, nanti, linkedin, tingkat, connect, represent, baru, ayo",0.3378
ug_fess,6,"tolong, kuesioner, represent, isi, meminta, boleh, pesan, tugas, ku, tementemen",0.3378
ug_fess,7,"puppy, sick, love, pelatihan, kira, lulus, berapa, biasanya, sertifikat, tanya",0.3378
ug_fess,8,"ibuprofen, diajar, pernah, beliau, ajar, diana, dospem, maria, utsnya, susah",0.3378
ug_fess,9,"bayar, know, that, bulan, april, tanggal, terakhir, belum, krs, tf",0.3378
ug_fess,10,"tanggal, ambil, ketemu, bareng, delapan, dua, ngambil, belas, besok, minute",0.3378
ug_fess,11,"bagaimana, praktikum, cara, later, talk, sistem, tanya, low, down, dimana",0.3378
ug_fess,12,"kuesioner, enggak, isi, berkenan, represent, bantu, kriterianya, pesan, tukar, barter",0.3378
ug_fess,13,"greek, letter, dospem, skripsi, bab, sidang, diskusi, terima, belum, masing",0.3378
ug_fess,14,"information, part, relawan, depok, jomblo, waktu, kegiatan, gundar, hujan, infokan",0.3378
ug_fess,15,"world, wide, web, computer, break, gangguan, bikin, or, intelligence, engine",0.3378
ug_fess,16,"bank, dki, bayar, know, that, lewat, tf, lain, ketemu, bukti",0.3378
ug_fess,17,"daring, salty, luring, jangan, bahasa, kursus, uas, minggu, dosen, ujian",0.3378
ug_fess,18,"tiba, suka, sisfor, geprek, bapak, skripsi, diam, mie, sangat, ayam",0.3378
ug_fess,19,"hesitation, matkul, voucher, nilainya, beli, ikut, setelah, uas, nilai, semester",0.3378
ug_fess,20,"blanko, pecah, pembayaran, belum, masih, unduh, keluar, sistem, mengajukan, kapan",0.3378
ug_fess,21,"kira, lebaran, jualan, kapan, libur, almet, keterangan, berapa, gundar, sudah",0.3378
ug_fess,22,"digital, citizenship, ngerjain, praktikum, kerjain, matkul, apa, ipk, grup, ngaruh",0.3378
ug_fess,23,"word, an, etc, email, of, that, selamat, tidur, malam, liburan",0.3378
ug_fess,24,"sight, kill, on, extra, cewek, cowok, ngekos, terrestrial, anak, main",0.3378
ug_fess,25,"psikologi, keren, kemungkinan, psikodiagnostika, prosedur, cerita, praktikum, rekomen, sekali, anak",0.3378
ug_fess,26,"amplifier, sosmed, barter, seribu, uas, terutama, posisi, tugasku, penilaiannya, boleh",0.3378
ug_fess,27,"region, depok, kelas, mutualan, psiko, pindah, enak, unggulan, semua, diacak",0.3378
ug_fess,28,"berapa, biasanya, sesi, uas, habis, hug, lebaran, tukar, keluar, libur",0.3378
ug_fess,29,"laptop, harry, potter, donts, servis, disk, operating, pengawasnya, system, rekomendasi",0.3378
ug_fess,30,"accurate, nama, pengambilan, data, penny, dospem, transaksi, mahasiswa, sehat, pengulangan",0.3378
